111;5.529;5.551
111;4.484;4.503
111;4.477;4.5
111;4.442;4.457
1;0.529;0.538
1;0.354;0.365
1;0.399;0.411
1;0.229;0.235
1;0.254;0.266
2;0.331;0.333
2;0.318;0.32
2;0.319;0.322
2;0.343;0.345
2;0.299;0.3
201;12.743;12.763
201;7.116;7.14
201;7.877;7.9
201;8.54;8.552
201;7.812;7.835
301;16.544;16.586
301;12.735;12.76
301;12.933;12.965
301;11.224;11.244
301;11.815;11.84
401;16.654;16.69
401;15.449;15.493
401;16.769;16.794
401;23.598;23.636
401;17.83;17.864
501;22.362;22.41
501;18.46;18.495
501;17.947;17.985
501;17.109;17.159
501;17.022;17.07
101;3.867;3.877
101;3.746;3.753
101;3.878;3.89
101;3.569;3.586
101;4.592;4.601
201;7.221;7.243
201;7.225;7.242
201;6.771;6.8
201;6.855;6.871
201;6.71;6.724
201;7.365;7.382
201;6.697;6.712
201;7.707;7.722
201;7.077;7.091
201;6.79;6.813
3;0.647;0.649
3;0.66;0.663
3;0.565;0.569
3;0.568;0.571
3;0.594;0.598
111;4.378;4.396
111;4.219;4.239
111;4.037;4.066
111;3.994;4.009
111;4.07;4.095
211;7.877;7.91
211;7.829;7.858
211;7.513;7.537
211;7.336;7.358
211;7.412;7.447
311;11.161;11.201
311;12.033;12.062
311;10.709;10.743
311;10.525;10.561
311;10.65;10.689
411;14.069;14.125
411;14.087;14.134
411;13.689;13.731
411;13.906;13.969
411;14.167;14.218
511;18.062;18.114
511;18.886;18.937
511;17.047;17.108
511;17.426;17.492
511;17.116;17.177
3;0.617;0.62
3;0.629;0.633
3;0.591;0.594
3;0.6;0.607
3;0.603;0.609
4;1.05;0.745
4;0.933;0.63
4;0.856;0.58
4;0.94;0.63
4;0.923;0.623
123;7.479;6.566
124;6.93;5.708
124;6.552;5.396
124;9.511;8.611
124;5.925;5.074
233;9.873;8.611
233;10.534;9.361
233;9.517;8.39
233;9.613;8.328
233;9.634;8.337
341;15.028;13.55
341;15.283;13.622
341;15.062;13.427
341;14.797;13.284
341;12.722;11.907
448;17.598;16.007
448;18.066;16.489
448;19.131;17.468
448;18.262;16.566
448;16.809;15.227
555;21.299;19.66
555;21.1;19.413
555;20.544;18.786
555;20.675;18.794
555;20.309;18.433
0;0.0;0.664
0;0.0;0.007
0;0.0;22.028
0;0.0;0.305
0;0.0;0.584
0;0.0;0.281
1;16.239;16.277
7;0.703;0.711
7;1.151;1.334
0;0.0;0.507
13;0.603;0.613
13;0.603;0.612
0;0.0;0.486
0;0.0;0.534
0;0.0;0.613
0;0.0;2.668
0;0.0;152.433
0;0.0;6.469
0;0.0;6.233
0;0.0;0.502
0;0.0;0.113
0;0.0;1.86
0;0.0;0.601
0;0.0;0.797
0;0.0;1.123
